Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ID,0,100.0,integer,41784,2028571098: 1; 2028575834: 1; 2028578511: 1
KhnID,0,100.0,integer,12994,2434360484: 11; 2426637802: 11; 2219518057: 11
D01,0,100.0,integer,11,"1: 12,994; 2: 11,856; 3: 9,081"
D03,19,99.95452804901397,integer,10,"3: 17,370; 1: 12,986; 2: 10,636"
D04,0,100.0,integer,2,"2: 21,024; 1: 20,760"
D05,0,100.0,string,13,"06: 5,137; 01: 5,095; 03: 3,645"
D06,0,100.0,string,99,63: 868; 64: 845; 65: 844
D07,0,100.0,integer,99,35: 915; 34: 854; 36: 849
D08,0,100.0,integer,4,"1: 40,934; 2: 835; 3: 11"
D09,3792,90.92475588742103,integer,3,"2: 28,564; 1: 9,428"
D10,3792,90.92475588742103,integer,3,"1: 34,007; 2: 3,985"
D11,7777,81.38761248324717,integer,10,"1: 10,254; 4: 7,783; 2: 7,102"
D12,25211,39.66350756270343,string,85,"0220: 3,183; 0510: 2,188; 0411: 1,045"
D13,9883,76.34740570553322,integer,9,"1: 11,472; 7: 11,252; 6: 3,468"
D14,29896,28.45108175378135,string,374,"5224: 1,511; 9314: 813; 8322: 797"
D15,29896,28.45108175378135,string,372,"41000: 1,040; 49220: 537; 49230: 438"
D16,29896,28.45108175378135,integer,9,"4: 4,558; 2: 4,363; 5: 2,087"
D17,9883,76.34740570553322,integer,5,"1: 22,081; 4: 7,372; 2: 1,858"
D18,0,100.0,integer,2,"2: 41,052; 1: 732"
Without_W,0,100.0,integer,1,"1: 41,784"
W,0,100.0,floating,2209,8998.280003936723: 212; 9099.619766065782: 194; 15445.362610790293: 190
W_Khn,0,100.0,floating,2209,8998.280003936723: 212; 9099.619766065782: 194; 15445.362610790293: 190
W_Khn_Y,0,100.0,floating,2209,3029.005939839612: 212; 2274.904941516445: 194; 5199.226415558589: 190
