Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Period,0,100.0,integer,4,"933: 13,421; 934: 12,771; 941: 12,273"
PSU,0,100.0,integer,1056,652: 85; 760: 82; 497: 82
Khanevar,0,100.0,integer,14,"5: 6,388; 6: 6,144; 7: 6,092"
D01,0,100.0,integer,12,"1: 14,699; 2: 13,686; 3: 11,098"
D03,0,100.0,string,13,"3: 21,750; 1: 14,699; 2: 12,497"
D04,0,100.0,integer,2,"1: 25,050; 2: 24,804"
D05,0,100.0,string,14,"06: 6,230; 01: 6,116; 03: 4,255"
D06,0,100.0,string,97,"--: 1,091; 68: 1,063; 65: 1,039"
D07,0,100.0,integer,97,"25: 1,074; 28: 1,060; 30: 1,057"
D08,0,100.0,integer,4,"1: 47,737; 2: 2,061; 3: 28"
D09,6732,86.49656998435431,integer,3,"2: 31,171; 1: 11,951"
D10,6732,86.49656998435431,integer,3,"1: 38,953; 2: 4,169"
D11,10901,78.13415172303125,integer,9,"31: 11,114; 11: 11,071; 21: 7,316"
D12,41098,17.56328479159145,string,77,344: 905; 523: 710; 345: 652
D13,13458,73.00517511132507,integer,9,"1: 13,144; 7: 12,678; 5: 4,297"
D14,36382,27.022906888113297,string,316,"5220: 1,725; 9314: 1,216; 8322: 979"
D15,36382,27.022906888113297,string,366,"41000: 1,546; 49220: 683; X0000: 518"
D16,36382,27.022906888113297,integer,8,"4: 4,801; 2: 4,548; 3: 3,063"
D17,13458,73.00517511132507,integer,5,"1: 25,169; 4: 9,019; 2: 1,781"
D18,0,100.0,integer,2,"2: 49,124; 1: 730"
Without_W,0,100.0,integer,1,"1: 49,854"
W,0,100.0,floating,1603,11520.32968: 276; 6862.621798: 209; 11355.606375: 189
W_Khn,11473,76.98680146026398,floating,1145,11832.137579: 276; 11935.946497: 189; 11429.308785: 180
KhnID,0,100.0,integer,14699,144389: 12; 141541: 11; 133674: 11
