Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Period,0,100.0,integer,4,"933: 939,456; 934: 902,016; 941: 860,736"
PSU,0,100.0,integer,1056,"636: 5,760; 477: 5,568; 284: 5,568"
Khanevar,0,100.0,integer,14,"5: 449,568; 6: 434,496; 4: 425,760"
RadifPasokhgoo,0,100.0,integer,10,"1: 1,356,768; 2: 1,267,680; 3: 510,432"
Q1,0,100.0,integer,96,"1: 36,396; 2: 36,396; 3: 36,396"
Q2Alpha,0,100.0,string,351,"خوابيدن در شب / خواب اصلي: 1,100,171; خوردن دسرهايي كه با غذا صرف مي‌شود: 195,614; آسودن: 182,100"
Q2Code,0,100.0,integer,311,"151110: 1,101,203; 151211: 195,775; 151610: 182,348"
Q3Alpha,3074070,12.01900620947357,string,262,"صحبت / مكالمه رو در رو: 160,615; تماشا كردن / گوش كردن به تلويزيون غير از برنامه‌هاي آموزشي در مورد كار (با برنامة متغير): 48,811; تماشا كردن / گوش كردن به تلويزيون غير از برنامه‌هاي آموزشي در مورد كار (با برنامة منظم): 26,763"
Q3Code,3074070,12.01900620947357,integer,254,"101111: 160,779; 141212: 48,811; 141211: 26,763"
Q4,0,100.0,integer,22,"1: 2,693,155; 3: 321,338; 2: 89,878"
Q5,0,100.0,integer,5,"1: 1,654,397; 2: 1,446,693; 3: 254,102"
Q6,0,100.0,integer,7,"1: 2,722,001; 2: 485,476; 5: 232,294"
Q7,0,100.0,integer,2,"2: 3,134,615; 1: 359,401"
Without_W,0,100.0,integer,1,"1: 3,494,016"
W,0,100.0,floating,1144,"11520.32968: 26,208; 11355.606375: 18,048; 7238.524703: 17,184"
W_Khn,0,100.0,floating,1144,"11832.137579: 26,208; 11935.946497: 18,048; 7434.441768: 17,184"
Gender,0,100.0,integer,2,"2: 1,777,632; 1: 1,716,384"
Age,0,100.0,integer,82,"30: 96,000; 28: 95,808; 25: 95,136"
KhnID,0,100.0,integer,14689,147922: 960; 143694: 960; 138336: 960
