Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ID,0,100.0,integer,3062496,2028596893: 1; 2028605119: 1; 2028605126: 1
KhnID,0,100.0,integer,12994,2413597786: 864; 2614930853: 864; 2432180218: 864
radif,0,100.0,integer,10,"1: 1,247,424; 2: 1,118,496; 3: 445,728"
Q1,0,100.0,integer,96,"1: 31,901; 2: 31,901; 3: 31,901"
Q2Alpha,2224608,27.35964389831039,string,27833,"خواب: 136,409; خوابيدن: 95,044; تماشاي تلويزيون: 35,908"
Q2Code,0,100.0,integer,164,"911: 1,018,993; 842: 273,842; 921: 195,660"
Q3Alpha,2960242,3.3389104834749217,string,5834,"تماشاي تلويزيون: 10,996; صحبت با خانواده: 5,959; صحبت با همسر: 4,487"
Q3Code,2747323,10.291376707104272,integer,137,"711: 132,826; 842: 61,602; 843: 17,307"
Q4,0,100.0,integer,21,"1: 2,477,167; 3: 289,160; 2: 56,606"
Q5,0,100.0,integer,5,"1: 1,478,216; 2: 1,308,677; 3: 149,925"
Q6,0,100.0,integer,7,"1: 2,325,463; 2: 368,530; 5: 346,252"
Q7,0,100.0,integer,2,"2: 2,716,313; 1: 346,183"
Q8,2989497,2.3836439296573753,integer,2,"1: 72,999"
Without_W,0,100.0,integer,1,"1: 3,062,496"
W,0,100.0,floating,2209,"8998.280003936723: 13,440; 15445.362610790293: 12,672; 9341.517238941531: 11,904"
WY,0,100.0,floating,2209,"3029.005939839612: 13,440; 5199.226415558589: 12,672; 2335.379309735383: 11,904"
Gender,0,100.0,integer,2,"2: 1,550,496; 1: 1,512,000"
Age,0,100.0,integer,84,"35: 87,840; 34: 81,984; 36: 81,504"
