Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Period,0,100.0,integer,4,"873: 815,808; 874: 810,816; 882: 808,608"
Ostan,0,100.0,integer,30,"23: 669,312; 10: 253,920; 9: 215,904"
PSU,0,100.0,integer,1606,"897: 3,936; 260: 3,936; 457: 3,936"
Khanevar,0,100.0,integer,2,"2: 1,621,920; 1: 1,618,752"
RadifPasokhgoo,0,100.0,integer,12,"1: 1,097,472; 2: 1,066,944; 3: 516,576"
Q1,0,100.0,integer,96,"1: 33,757; 2: 33,757; 3: 33,757"
Q2Alpha,1529308,52.80892358128191,string,73781,"خواب: 235,156; خوابيدن: 171,201; استراحت: 76,540"
Q2Code,0,100.0,string,388,"151110: 997,869; 151610: 177,776; 151211: 171,563"
Q3Alpha,2987068,7.825660850589012,string,19792,"تماشاي تلويزيون: 19,565; گوش دادن به راديو: 8,331; صحبت باخانواده: 8,055"
Q3Code,2808068,13.349206584313379,string,307,"101111: 163,357; 14121X: 44,555; 141214: 28,106"
Q4,0,100.0,integer,22,"1: 2,481,989; 3: 289,624; 10: 82,814"
Q5,0,100.0,integer,5,"1: 1,516,545; 2: 1,325,054; 3: 269,975"
Q6,0,100.0,integer,7,"1: 2,517,481; 2: 420,189; 5: 261,493"
Q7,0,100.0,integer,2,"2: 2,911,618; 1: 329,054"
W1,0,100.0,floating,631,"1479.5540637219706: 52,704; 1487.9604945802262: 49,344; 1327.5191716662164: 49,248"
