Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Period,0,100.0,integer,4,"873: 8,498; 881: 8,452; 874: 8,446"
Ostan,0,100.0,integer,30,"23: 6,972; 10: 2,645; 9: 2,249"
PSU,0,100.0,integer,1606,457: 41; 897: 41; 260: 41
Khanevar,0,100.0,integer,2,"2: 16,922; 1: 16,898"
RadifPasokhgoo,0,100.0,integer,12,"1: 11,469; 2: 11,120; 3: 5,391"
A06,0,100.0,integer,7,"3: 5,693; 2: 5,571; 1: 4,773"
A07,0,100.0,integer,50,"871210: 1,607; 870910: 1,412; 880604: 1,260"
A08,0,100.0,integer,51,"871211: 1,363; 870911: 1,297; 880331: 1,236"
A09,0,100.0,integer,2,"1: 16,950; 2: 16,870"
A10,0,100.0,integer,2,"1: 28,239; 2: 5,581"
A11,0,100.0,integer,2,"2: 21,470; 1: 12,350"
B1_1,22797,32.59314015375517,integer,3,"1: 10,277; 2: 746"
B1_2,32493,3.9237137788290966,integer,3,2: 804; 1: 523
Status,0,100.0,integer,3,"60: 33,530; 40: 280; 50: 10"
Response,27440,18.86457717327026,integer,4844,348812010090203: 24; 348732311410203: 22; 378812009930102: 19
W1,0,100.0,floating,631,1479.5540637219706: 549; 1487.9604945802262: 514; 1327.5191716662164: 513
