Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Period,0,100.0,integer,4,"873: 3,220; 874: 3,220; 881: 3,220"
Ostan,0,100.0,integer,30,"23: 2,968; 10: 1,008; 9: 896"
PSU,0,100.0,integer,1610,1: 8; 2: 8; 3: 8
Khanevar,0,100.0,integer,2,"1: 6,440; 2: 6,440"
Mah,35,99.72826086956522,integer,6,"3: 3,216; 6: 3,216; 12: 3,207"
Rooz,35,99.72826086956522,integer,20,"10: 1,679; 9: 1,134; 4: 967"
B2,792,93.85093167701864,integer,12,"2: 5,062; 1: 4,977; 3: 1,133"
B5_HasTelephone,755,94.13819875776397,integer,3,"1: 11,123; 2: 1,002"
B5_Rooz,4,99.96894409937889,integer,10,"1: 4,184; 0: 3,801; 8: 2,499"
B5_Saat1,2540,80.27950310559007,integer,25,"10: 2,443; 9: 1,516; 8: 1,467"
B5_Saat2,2516,80.46583850931677,integer,25,"20: 1,687; 12: 1,199; 18: 1,022"
P1,0,100.0,integer,2,"1: 12,075; 2: 805"
P2,0,100.0,integer,2,"2: 9,948; 1: 2,932"
P2_Block,9961,22.663043478260867,integer,106,1: 434; 2: 280; 3: 225
P2_Khanevar,9969,22.600931677018632,integer,46,"3: 1,479; 4: 1,283; 2: 24"
TedadAfradKhanevar,804,93.75776397515529,integer,14,"4: 3,528; 3: 2,918; 5: 1,973"
TedadAfrad6AndOver,805,93.75,integer,13,"2: 3,189; 4: 2,853; 3: 2,836"
TedadAfrad15AndOver,805,93.75,integer,12,"2: 5,489; 3: 2,499; 4: 1,739"
Q1_1,805,93.75,string,4,"2: 8,323; 1: 3,736; &: 16"
Q1_2,805,93.75,string,7,"1: 8,303; 2: 2,823; 4: 700"
Q2_1,805,93.75,string,4,"2: 9,290; 1: 2,749; &: 36"
Q2_2,805,93.75,string,4,"2: 6,725; 1: 5,329; &: 21"
Q3_1,805,93.75,string,4,"1: 10,549; 2: 1,503; &: 23"
Q3_2,805,93.75,string,4,"2: 7,708; 1: 4,310; &: 57"
Q3_3,8553,33.59472049689442,string,4,"1: 2,507; 2: 1,782; &: 38"
Q4_01,805,93.75,string,4,"1: 11,953; 2: 109; &: 13"
Q4_02,805,93.75,string,4,"1: 9,503; 2: 2,554; &: 18"
Q4_03,805,93.75,string,4,"2: 7,174; 1: 4,857; &: 44"
Q4_04,805,93.75,string,4,"2: 8,421; 1: 3,623; &: 31"
Q4_05,805,93.75,string,4,"1: 10,206; 2: 1,853; &: 16"
Q4_06,805,93.75,string,4,"1: 8,902; 2: 3,159; &: 14"
Q4_07,805,93.75,string,4,"2: 11,632; 1: 427; &: 16"
Q4_08,805,93.75,string,4,"2: 10,723; 1: 1,336; &: 16"
Q4_09,805,93.75,string,4,"1: 11,931; 2: 129; &: 15"
Q4_10,805,93.75,string,4,"1: 8,171; 2: 3,887; &: 17"
Q4_11,805,93.75,string,4,"1: 8,567; 2: 3,494; &: 14"
Q5,0,100.0,integer,12,"2: 5,479; 3: 2,496; 4: 1,756"
Q6,0,100.0,integer,11,"2: 5,489; 3: 2,499; 4: 1,739"
Status,0,100.0,integer,3,"60: 12,750; 40: 124; 30: 6"
w1,0,100.0,floating,632,0.0: 306; 1479.5540637219706: 198; 1487.9604945802262: 192
